depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.004633e-08,4.737263e+01,-4.612340e-08,5.234351e+01,-7.756099e-08,5.052080e+01,1.885000e+03
-9.500000e-01,-3.072224e-08,4.737263e+01,-4.717405e-08,5.234351e+01,-7.943732e-08,5.052080e+01,1.885000e+03
-9.000000e-01,-3.196242e-08,4.737263e+01,-4.908932e-08,5.234351e+01,-8.282346e-08,5.052080e+01,1.885000e+03
-8.500000e-01,-3.438449e-08,4.737263e+01,-5.280088e-08,5.234351e+01,-8.930749e-08,5.052080e+01,1.885000e+03
-8.000000e-01,-3.948374e-08,4.737263e+01,-6.054209e-08,5.234351e+01,-1.026383e-07,5.052080e+01,1.885000e+03
-7.500000e-01,-5.124489e-08,4.737263e+01,-7.819345e-08,5.234351e+01,-1.325066e-07,5.052080e+01,1.885000e+03
-7.000000e-01,-8.156755e-08,4.737263e+01,-1.230624e-07,5.234351e+01,-2.067956e-07,5.052080e+01,1.885000e+03
-6.500000e-01,-1.710723e-07,4.737263e+01,-2.531913e-07,5.234351e+01,-4.164049e-07,5.052080e+01,1.885000e+03
-6.000000e-01,-4.809295e-07,4.737263e+01,-6.939896e-07,5.234351e+01,-1.101854e-06,5.052080e+01,1.885000e+03
-5.500000e-01,-1.750109e-06,4.737263e+01,-2.452926e-06,5.234351e+01,-3.713087e-06,5.052080e+01,1.885000e+03
-5.000000e-01,-6.989374e-06,4.737263e+01,-9.348739e-06,5.234351e+01,-1.277227e-05,5.052080e+01,1.885000e+03
-4.500000e-01,-1.405608e-05,4.737263e+01,-1.826281e-05,5.234351e+01,-2.141479e-05,5.052080e+01,1.885000e+03
-4.000000e-01,-1.655855e-05,4.737263e+01,-2.293739e-05,5.234351e+01,-2.853663e-05,5.052080e+01,1.885000e+03
-3.500000e-01,-1.713837e-05,4.737263e+01,-2.409847e-05,5.234351e+01,-3.161115e-05,5.052080e+01,1.885000e+03
-3.000000e-01,-1.729338e-05,4.737263e+01,-2.440424e-05,5.234351e+01,-3.243383e-05,5.052080e+01,1.885000e+03
-2.500000e-01,-1.734231e-05,4.737263e+01,-2.449888e-05,5.234351e+01,-3.268183e-05,5.052080e+01,1.885000e+03
-2.000000e-01,-1.736016e-05,4.737263e+01,-2.453279e-05,5.234351e+01,-3.276805e-05,5.052080e+01,1.885000e+03
-1.500000e-01,-1.736747e-05,4.737263e+01,-2.454647e-05,5.234351e+01,-3.280194e-05,5.052080e+01,1.885000e+03
-1.000000e-01,-1.737070e-05,4.737263e+01,-2.455248e-05,5.234351e+01,-3.281655e-05,5.052080e+01,1.885000e+03
-5.000000e-02,-1.737214e-05,4.737263e+01,-2.455517e-05,5.234351e+01,-3.282311e-05,5.052080e+01,1.885000e+03
0.000000e+00,-1.737264e-05,4.737263e+01,-2.455617e-05,5.234351e+01,-3.282575e-05,5.052080e+01,1.885000e+03
